id,field_model,parent_id,field_member_of,field_weight,title,file,field_description,field_resource_type,field_subject_general,field_identifier,field_edtf_date_issued,field_linked_agent,field_publisher,field_rights,media_use_tid,field_viewer_override,media:audio:field_track,media:video:field_track,thumbnail,service,fits,extracted,Supplemental_PDF
172,Compound Object,4,,,1910 Grand Parade,Compound Objects/Compound_Sample_2_Postcard/Postcard_TN.png,This black and white postcard from 1910 depicts a military parade in Charlottetown with pictures of children in the foreground.,Collection,subject:Parade|subject:Historical Photography,islandora:808,1910,,University of Prince Edward Island,"<a rel=""license"" href=""http://creativecommons.org/licenses/by-sa/4.0/""><img alt=""Creative Commons License"" style=""border-width:0"" src=""https://i.creativecommons.org/l/by-sa/4.0/88x31.png"" /></a><br />This work is licensed under a <a rel=""license"" href=""http://creativecommons.org/licenses/by-sa/4.0/"">Creative Commons Attribution-ShareAlike 4.0 International License</a>.",http://pcdm.org/use#ThumbnailImage,OpenSeadragon,,,,,,,
173,Image,172,,1,1910 Grand Parade Postcard Front,Compound Objects/Compound_Sample_2_Postcard/postcard3.tif,,Still Image,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Compound Objects/Compound_Sample_2_Postcard/postcard3.tif.thumbnail.jpg,Compound Objects/Compound_Sample_2_Postcard/postcard3.tif.service.jpg,Compound Objects/Compound_Sample_2_Postcard/postcard3.tif.fits.xml,Compound Objects/Compound_Sample_2_Postcard/postcard3.tif.extracted.txt,
174,Image,172,,2,1910 Grand Parade Postcard Back,Compound Objects/Compound_Sample_2_Postcard/postcard4.tif,,Still Image,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Compound Objects/Compound_Sample_2_Postcard/postcard4.tif.thumbnail.jpg,Compound Objects/Compound_Sample_2_Postcard/postcard4.tif.service.jpg,Compound Objects/Compound_Sample_2_Postcard/postcard4.tif.fits.xml,Compound Objects/Compound_Sample_2_Postcard/postcard4.tif.extracted.txt,
175,Newspaper,7,,,University of Prince Edward Island Cadre,Newspapers and Serials/The_Cadre_logo.jpg,"The University of Prince Edward Island Cadre began publication on October 3, 1969. It was the successor to the Prince of Wales College Times and the St. Dunstan&apos;s University Red and White, both of which institutions were amalgamated to form U.P.E.I. in 1969. The Cadre printed U.P.E.I. news and sports, news from other universities and strongly worded articles on current social issues. Photographs were printed in every issue. The Cadre supported student rights, sexual freedom and women's liberation. It attacked capitalism, Christianity and the Canadian university system. Issues of particular concern included unemployment, inflation and the high cost of tuition. The Cadre became less radical and critical towards the end of its publication history. It was succeeded by the UPEI Sun in the fall of 1977.",Collection,subject:Prince Edward Island -- Canada,,,relators:edt:person:Jim Hornby|relators:edt:person:Dennis MacKay,University of Prince Edward Island,"Information drawn from <a rel=""license"" href=""https://www.islandlives.ca/islandora/object/ilives:209752"">A Checklist and historical directory of Prince Edward Island newspapers 1787-1986</a>, compiled by Heather Boylan and made available courtesy of the <a rel=""license"" href=""http://www.gov.pe.ca/archives/"">Public Archives and Records Office of Prince Edward Island</a>.",http://pcdm.org/use#ThumbnailImage,,,,,,,,
180,Publication Issue,175,,,"The Cadre: Special Issue (Volume 1., No. 10)",Newspapers and Serials/Newspaper_Sample/Newspaper_Sample_TN.png,Special Issue: What is the future of U.P.E.I? Can the proposed $100 raise in tuition and fees be justified? When do we get the provincial student aid?,Collection,subject:Prince Edward Island -- Canada,0839-2560,1969-01-21,,,,http://pcdm.org/use#ThumbnailImage,,,,,,,,
176,Page,180,,1,Page 1,Newspapers and Serials/Newspaper_Sample/19690121-001-010-001.tif,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Newspapers and Serials/Newspaper_Sample/19690121-001-010-001.tif.thumbnail.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-001.tif.service.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-001.tif.fits.xml,Newspapers and Serials/Newspaper_Sample/19690121-001-010-001.tif.extracted.txt,
177,Page,180,,2,Page 2,Newspapers and Serials/Newspaper_Sample/19690121-001-010-002.tif,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Newspapers and Serials/Newspaper_Sample/19690121-001-010-002.tif.thumbnail.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-002.tif.service.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-002.tif.fits.xml,Newspapers and Serials/Newspaper_Sample/19690121-001-010-002.tif.extracted.txt,
178,Page,180,,3,Page 3,Newspapers and Serials/Newspaper_Sample/19690121-001-010-003.tif,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Newspapers and Serials/Newspaper_Sample/19690121-001-010-003.tif.thumbnail.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-003.tif.service.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-003.tif.fits.xml,Newspapers and Serials/Newspaper_Sample/19690121-001-010-003.tif.extracted.txt,
179,Page,180,,4,Page 4,Newspapers and Serials/Newspaper_Sample/19690121-001-010-004.tif,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Newspapers and Serials/Newspaper_Sample/19690121-001-010-004.tif.thumbnail.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-004.tif.service.jpg,Newspapers and Serials/Newspaper_Sample/19690121-001-010-004.tif.fits.xml,Newspapers and Serials/Newspaper_Sample/19690121-001-010-004.tif.extracted.txt,
181,Publication Issue,175,,,"The Cadre (Volume 1., No. 08)",Newspapers and Serials/Newspaper_Sample_2/Newspaper_Sample_2_TN.png,"Council holds record meet! Students will advise departments, and MacKay walks out of senate.",Collection,subject:Prince Edward Island -- Canada,19691205,1969-12-05,,,,http://pcdm.org/use#ThumbnailImage,,,,,,,,
182,Page,181,,1,Page 1,Newspapers and Serials/Newspaper_Sample_2/Page_1.tiff,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Newspapers and Serials/Newspaper_Sample_2/Page_1.tiff.thumbnail.jpg,Newspapers and Serials/Newspaper_Sample_2/Page_1.tiff.service.jpg,Newspapers and Serials/Newspaper_Sample_2/Page_1.tiff.fits.xml,Newspapers and Serials/Newspaper_Sample_2/Page_1.tiff.extracted.txt,
