id,field_model,parent_id,field_member_of,field_weight,title,file,field_description,field_resource_type,field_subject_general,field_identifier,field_edtf_date_issued,field_linked_agent,field_publisher,field_rights,media_use_tid,field_viewer_override,media:audio:field_track,media:video:field_track,thumbnail,service,fits,extracted,Supplemental_PDF
2,Collection,,,,Book Collection,Collection Service Files/Book_Collection.png,"This collection demonstrates the look, feel, and behaviour of a book collection in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
3,Collection,,,,Document Collection,Collection Service Files/Documents_Collection.png,"This collection demonstrates the look, feel, and behaviour of documents in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
4,Collection,,,,Compound Collection,Collection Service Files/Compound_Collection.png,"This collection demonstrates the look, feel, and behaviour of compound objects in islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
5,Collection,,,,Large Image Collection,Collection Service Files/Large_Image.png,"This collection demonstrates the look, feel, and behaviour of large (zoomable) images in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
6,Collection,,,,Simple Image Collection,Collection Service Files/Simple_Image.png,"This collection demonstrates the look, feel, and behaviour of simple images in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
7,Collection,,,,Newspaper Collection,Collection Service Files/newspaper_collection.png,"This collection demonstrates the look, feel, and behaviour of newspapers in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
8,Collection,,,,Audio Collection,Collection Service Files/Audio_Collection.png,"This collection demonstrates the look, feel, and behaviour of Audio files in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
9,Collection,,,,Video Collection,Collection Service Files/Video_Collection.png,"Thic collection demonstrates the look, feel, and behaviour of video files in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
197,Collection,,,,Binary Collection,Collection Service Files/Collection.png,"This collection demonstrates the look, feel, and behaviour of binary files in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
198,Collection,6,,,Staging Subcollection,Collection Service Files/Binary_Image.png,"This collection demonstrates the look, feel, and behaviour of sub-collections in Islandora.",Collection,,,,,,This collection and its contents are provided as a demonstration of the capabilities of Islandora. All rights and pre-existing licensing hold for the contents of this collection.,http://pcdm.org/use#ThumbnailImage,,,,,,,,
199,Binary,197,,,Atlantic Canada Newspaper Survey - Dataset,Binary File/_ACNS.zip,"The Atlantic Canada Newspaper Survey (ACNS) project was designed to provide a machine-readable database of goods and services offered for sale in important east coast regional newspapers before 1900. This newspaper research database has as its focus nine broad categories of commodities based upon Statistics Canada’s “Trade of Canada Commodity Classification”. In the 1980s work on the database was supported by the Canadian Museum of Civilization. The project received SSHRC funding in 1986-1987 as part of its Research Tools Program. In June 2013, the Canadian Heritage Information Network was no longer able to host the database due to accessibility issues. CHIN exported the dataset and provided a copy to UPEI in the hopes that it would be useful.",Dataset,subject:Museum And Gallery Studies|subject:Information and Knowledge Management,10.11571/upei-roblib-data/researchdata:448,2017-02-12,,"University of New Brunswick at Saint John|Prince Edward Island Museum and Heritage Foundation|Canadian Heritage Information Network|Canadian Museum of Civilization|Gorsebrook Research Institute, St. Mary’s University|Memorial University of Newfoundland|New Brunswick Museum, Saint John|Newfoundland Museum|Nova Scotia Museum, Halifax","<a rel=""license"" href=""http://creativecommons.org/licenses/by-nd/4.0/""><img alt=""Creative Commons License"" style=""border-width:0"" src=""https://licensebuttons.net/l/by-nd/4.0/88x31.png"" /></a><br />This work is licensed under a <a rel=""license"" href=""https://creativecommons.org/licenses/by-nd/4.0/"">Creative Commons Attribution-ShareAlike 4.0 International License</a>.",http://pcdm.org/use#OriginalFile,,,,,,,,
200,Image,198,,,Sample Simple Image without Cataloguing,Sub-Collection_Staging/Sample_1.png,This is an uncatalogued image used to demonstrate editorial workflows around cataloguing.,Still Image,,,,,,Provided to demonstrate function of Islandora only. All rights reserved.,http://pcdm.org/use#OriginalFile,,,,Sub-Collection_Staging/Sample_1.png.thumbnail.jpg,Sub-Collection_Staging/Sample_1.png.service.jpg,Sub-Collection_Staging/Sample_1.png.fits.xml,,
201,Image,198,,,Sample Simple Image without Cataloguing,Sub-Collection_Staging/Sample_2.png,This is an uncatalogued image used to demonstrate editorial workflows around cataloguing.,Still Image,,,,,,Provided to demonstrate function of Islandora only. All rights reserved.,http://pcdm.org/use#OriginalFile,,,,Sub-Collection_Staging/Sample_2.png.thumbnail.jpg,Sub-Collection_Staging/Sample_2.png.service.jpg,Sub-Collection_Staging/Sample_2.png.fits.xml,,
202,Image,198,,,Sample Simple Image without Cataloguing,Sub-Collection_Staging/Sample_3.png,This is an uncatalogued image used to demonstrate editorial workflows around cataloguing.,Still Image,,,,,,Provided to demonstrate function of Islandora only. All rights reserved.,http://pcdm.org/use#OriginalFile,,,,Sub-Collection_Staging/Sample_3.png.thumbnail.jpg,Sub-Collection_Staging/Sample_3.png.service.jpg,Sub-Collection_Staging/Sample_3.png.fits.xml,,
10,Digital Document,3,,,Activities in the city of Toronto,Documents/Sample_Excel_file.xlsx,This sample dataset of activities in Toronto was downloaded from Toronto's Open Data Portal.,Dataset,subject:Information and Knowledge Management,,,,,"Open Government Licence – Toronto based on version 1.0 of the Open Government Licence – Ontario, which was developed through public consultation and a collaborative effort by the provincial and federal government. The only substantive changes in this licence are to replace direct references to the Province of Ontario with the City of Toronto and the inclusion of a provision for the Ontario Personal Health Information Protection Act, 2004. Additional information available at <a rel=""license"" href=""https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/ "">Toronto Open Data Portal</a>.",http://pcdm.org/use#OriginalFile,,,,,,,,
11,Digital Document,3,,,Drop in activities in Toronto,Documents/Sample_PDF_file.pdf,"This document contains tabs for Registered Programs, Drop-in, Locations, and Facilities for the city of Toronto.",Text,subject:Information and Knowledge Management,,2021,,City of Toronto,"Open Government Licence – Toronto based on version 1.0 of the Open Government Licence – Ontario, which was developed through public consultation and a collaborative effort by the provincial and federal government. The only substantive changes in this licence are to replace direct references to the Province of Ontario with the City of Toronto and the inclusion of a provision for the Ontario Personal Health Information Protection Act, 2004. Additional information available at <a rel=""license"" href=""https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/ "">Toronto Open Data Portal</a>.",http://pcdm.org/use#OriginalFile,PDF.js,,,Documents/Sample_PDF_file.pdf.thumbnail.png,,Documents/Sample_PDF_file.pdf.fits.xml,Documents/Sample_PDF_file.pdf.extracted.txt,
12,Digital Document,3,,,Adding a Child Collection using the Islandora Content Modeler Module,Documents/Islandora Content Modeler.pptx,Slides walking through the functionality of an early content modeling module for Islandora.,Interactive Resource,subject:Islandora,,2013-09-23,,University of Prince Edward Island,"<a rel=""license"" href=""http://creativecommons.org/licenses/by-sa/4.0/""><img alt=""Creative Commons License"" style=""border-width:0"" src=""https://i.creativecommons.org/l/by-sa/4.0/88x31.png"" /></a><br />This work is licensed under a <a rel=""license"" href=""http://creativecommons.org/licenses/by-sa/4.0/"">Creative Commons Attribution-ShareAlike 4.0 International License</a>.",http://pcdm.org/use#OriginalFile,,,,,,Documents/Islandora Content Modeler.pptx.fits.xml,,
13,Image,5,,,Library circulation desk,Large Images/photoservices_132.tiff,Depicts the Library Circulation desk of the University of Toronto Scarborough Library.,Still Image,subject:Academic life|subject:Library,61220/utsc10223,,relators:pht:person:Ken Jones,University of Toronto Scarborough,"Digital files found in the UTSC Library's Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. Prior written permission to publish, or otherwise use images and text found on the website must be obtained from the copyright holder. Please contact UTSC Library for further information.",http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Large Images/photoservices_132.tiff.thumbnail.jpg,Large Images/photoservices_132.tiff.service.jpg,Large Images/photoservices_132.tiff.fits.xml,Large Images/photoservices_132.tiff.extracted.txt,
14,Image,5,,,Portrait of J. Crichton-Patterson,Large Images/photoservices_220.tiff,Portrait of J. Crichton-Patterson holding a computer and a stack of books.,Still Image,subject:Academic life,61220/utsc10311,1999,relators:pht:person:Ken Jones,University of Toronto Scarborough,"Digital files found in the UTSC Library's Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. Prior written permission to publish, or otherwise use images and text found on the website must be obtained from the copyright holder. Please contact UTSC Library for further information.",http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Large Images/photoservices_220.tiff.thumbnail.jpg,Large Images/photoservices_220.tiff.service.jpg,Large Images/photoservices_220.tiff.fits.xml,Large Images/photoservices_220.tiff.extracted.txt,
